"UniprotA"
"Q8IZ07"
"Q8N9E0"
"P12319"
"Q9UI43"
"Q96I24-2"
"Q9HCQ5-2"
"P22692"
"Q2M1V0"
"Q9H2R5"
"Q7Z6A9-2"
"A4QMS1"
"Q96PB8"
"P11226"
"P55083"
"Q96EY8"
"Q96PU9"
"Q3KNV8-2"
"Q14554"
"O43692"
"Q8N2W9"
"Q9H8K7"
"Q96FE7-2"
"P07478"
"P28066"
"Q6T310"
"O14593"
"Q9Y3A5"
"Q8IWL1"
"Q56A73"
"Q8IYL3"
"P31213"
"Q8IUE1"
"Q8N1Q8"
"Q96A25"
"Q5SWH9"
"P21580"
"P13805-2"
"Q8N2K1"
"P10966-3"
"Q9Y3Y2-3"
"Q9UMR7"
"P27707"
"Q9UBU2"
"Q9H6Z9"
"Q13705"
"O60503"
"Q9BWU1-2"
"Q86X02"
"Q9H3R5"
"Q7L2Z9"
"Q9UIV1"
"Q9H9E3"
"O15320-2"
"Q92667"
"Q8IWT3-3"
"Q8WV16-2"
"Q9H8H2"
"Q14562"
"Q12926-2"
"Q96C01"
"Q96NE9-2"
"Q7L5D6"
"Q3SY69"
"Q9NZM5"
"P16104"
"P07900-2"
"P11142"
"Q9Y4L1"
"Q9H5V7"
"P30838"
"P27930"
"Q12905"
"Q6NYC1-2"
"Q9P206-2"
"Q14155-1"
"P17931"
"Q9NU23"
"P23508"
"Q9UHK0"
"Q9H1M0"
"Q13438-2"
"A6NDY0-4"
"Q02809"
"P36873-2"
"Q9Y2T4-2"
"Q7Z3C6"
"P28065-2"
"Q93096"
"Q8N0V3"
"P62847-2"
"O43159"
"Q15020"
"Q8NBX0"
"O94979-2"
"Q99442"
"Q86VS0"
"Q8N5C6-2"
"Q99933-3"
"P28290-2"
"Q9UNK0"
"Q8IWU5-2"
"O75683"
"Q5T7P8-2"
"Q9BVK6"
"Q9BXS4"
"Q13077"
"Q8NDY6"
"P26368-2"
"O95292-2"
"Q9Y2I8"
"Q9NYS7"
"Q01831"
"Q9GZM5"
"Q9NP64-2"
"Q96QE5"
"Q6NVV7"
"P49368"
"Q16543"
"Q9BXL8"
"Q14004-2"
"Q562R1"
"Q0VAN0"
"O95639-2"
"P01037"
"C9IYG0"
"Q717R9"
"Q8TDD1-2"
"Q13574-2"
"Q86XF0"
"Q6P158"
"Q9NRI5-2"
"Q12805-2"
"Q9HCM4-2"
"P17707"
"Q96PL5"
"Q969U6"
"P08620"
"Q8NHY3"
"Q9HC44"
"P53701"
"Q13547"
"P22492"
"Q96A08"
"Q6HA08"
"P20839-2"
"Q6ZMI0"
"Q969R5"
"P49006"
"P51608-2"
"Q99547"
"Q15233"
"Q9NPE3"
"Q9NX40"
"Q9H0X9"
"Q8N6Y1"
"P61769"
"Q9Y5H6-2"
"Q9Y5E6"
"Q9Y5G8-2"
"Q8NBL1"
"P56282"
"Q9UHN1"
"Q9Y535-2"
"O60237-2"
"P55345"
"Q8N8J7"
"Q13637"
"O60518"
"Q15283"
"Q9Y4C8"
"P42696"
"P62753"
"P62241"
"Q9Y265"
"Q96ES7"
"P34925-2"
"P48594"
"P63208"
"Q96GM5-2"
"Q8WV41"
"Q5H9L4-2"
"Q96F92"
"P55327-2"
"Q13263"
"Q6AZZ1"
"Q9UK41"
"Q9H6Y2"
"Q9BRX9"
"Q8WV48"
"Q8TBF4"
"Q15776"
"Q6ZN55-2"
"A6NNF4-2"
"Q15696"
"P50750-2"
"Q9BZ76-2"
"Q96FN4"
"O43827"
"Q12934"
"O95696-2"
"Q9Y6E2"
"A1L190"
"Q8N4J0"
"P78371"
"Q99832"
"Q9NXV6"
"Q96PC3-4"
"Q12798"
"Q8WTT0-2"
"Q96A23-2"
"Q8N6G5-2"
"Q9Y6M4-2"
"P35222"
"Q9NWM3"
"Q9BPU6"
"P51452"
